                                 Open        High         Low       Close  \
Datetime                                                                    
2024-10-17 01:21:00+01:00  172.699997  172.714005  172.690994  172.707993   
2024-10-17 01:22:00+01:00  172.707993  172.725998  172.701996  172.720993   
2024-10-17 01:23:00+01:00  172.722000  172.722000  172.694000  172.705994   
2024-10-17 01:24:00+01:00  172.707001  172.722000  172.703995  172.716995   
2024-10-17 01:25:00+01:00  172.718002  172.738007  172.697006  172.703995   
2024-10-17 01:26:00+01:00  172.701996  172.722000  172.701996  172.714996   
2024-10-17 01:27:00+01:00  172.716995  172.740005  172.703003  172.731003   
2024-10-17 01:28:00+01:00  172.729996  172.740005  172.725998  172.735992   
2024-10-17 01:29:00+01:00  172.737000  172.737000  172.712006  172.718994   
2024-10-17 01:30:00+01:00  172.720993  172.785004  172.712006  172.731995   
2024-10-17 01:31:00+01:00  172.729996  172.753998  172.725998  172.738998   
2024-10-17 01:32:00+01:00  172.740005  172.772995  172.735001  172.748001   
2024-10-17 01:33:00+01:00  172.751999  172.792999  172.746002  172.781998   
2024-10-17 01:34:00+01:00  172.787994  172.791000  172.761993  172.768005   
2024-10-17 01:35:00+01:00  172.772003  172.789001  172.750000  172.764008   
2024-10-17 01:36:00+01:00  172.763000  172.778000  172.750000  172.766998   
2024-10-17 01:37:00+01:00  172.770996  172.783997  172.755005  172.763000   
2024-10-17 01:38:00+01:00  172.766006  172.768997  172.738998  172.757996   
2024-10-17 01:39:00+01:00  172.764008  172.764008  172.744003  172.750000   
2024-10-17 01:40:00+01:00  172.751999  172.761993  172.725006  172.731003   
2024-10-17 01:41:00+01:00  172.731003  172.774994  172.725998  172.751999   
2024-10-17 01:42:00+01:00  172.753998  172.791000  172.738998  172.781998   
2024-10-17 01:43:00+01:00  172.781998  172.791000  172.763000  172.781006   
2024-10-17 01:44:00+01:00  172.778000  172.792999  172.770004  172.781998   
2024-10-17 01:45:00+01:00  172.781998  172.781998  172.748001  172.772003   
2024-10-17 01:46:00+01:00  172.770004  172.770996  172.731003  172.764008   
2024-10-17 01:47:00+01:00  172.766006  172.770004  172.740005  172.753006   
2024-10-17 01:48:00+01:00  172.751007  172.770004  172.740005  172.746002   
2024-10-17 01:49:00+01:00  172.748001  172.751999  172.714005  172.738998   
2024-10-17 01:50:00+01:00  172.733002  172.742004  172.692001  172.716003   
2024-10-17 01:51:00+01:00  172.716003  172.733994  172.686005  172.695999   
2024-10-17 01:52:00+01:00  172.697006  172.735001  172.695007  172.729996   
2024-10-17 01:53:00+01:00  172.733002  172.787994  172.731995  172.746002   
2024-10-17 01:54:00+01:00  172.750000  172.750000  172.679001  172.725006   
2024-10-17 01:55:00+01:00  172.727005  172.746994  172.705002  172.729004   
2024-10-17 01:56:00+01:00  172.729004  172.776001  172.720993  172.744995   
2024-10-17 01:57:00+01:00  172.750000  172.774002  172.733994  172.733994   
2024-10-17 01:58:00+01:00  172.738007  172.759003  172.727997  172.740005   
2024-10-17 01:59:00+01:00  172.740005  172.757004  172.733002  172.746994   
2024-10-17 02:00:00+01:00  172.748993  172.774994  172.714005  172.718994   
